ID,fi,lamda,h,X,Y,Z,rp,s2
1,1,45,-1000000,3802342.537,3802342.537,93116.36839,5377324.385,0.711010265
2,1,45,-750000,3979092.309,3979092.309,97479.47,5627286.309,0.778648616
3,1,45,-500000,4155842.08,4155842.08,101842.5716,5877248.233,0.849359689
4,1,45,-400000,4226541.989,4226541.989,103587.8122,5977233.002,0.87850448
5,1,45,-300000,4297241.897,4297241.897,105333.0529,6077217.772,0.908140907
6,1,45,-200000,4367941.806,4367941.806,107078.2935,6177202.541,0.938268969
7,1,45,-100000,4438641.714,4438641.714,108823.5342,6277187.311,0.968888667
8,1,45,-50000,4473991.669,4473991.669,109696.1545,6327179.696,0.984382879
9,1,45,-10000,4502271.632,4502271.632,110394.2508,6367173.603,0.996866743
10,1,45,-1000,4508634.624,4508634.624,110551.3224,6376172.233,0.999686453
11,1,45,-500,4508988.123,4508988.123,110560.0486,6376672.157,0.99984322
12,1,45,-100,4509270.923,4509270.923,110567.0296,6377072.096,0.999968643
13,1,45,100,4509412.323,4509412.323,110570.5201,6377272.065,1.000031357
14,1,45,500,4509695.122,4509695.122,110577.501,6377672.004,1.000156792
15,1,45,1000,4510048.622,4510048.622,110586.2272,6378171.928,1.000313596
16,1,45,10000,4516411.614,4516411.614,110743.2989,6387170.557,1.003138173
17,1,45,50000,4544691.577,4544691.577,111441.3951,6427164.465,1.01574003
18,1,45,100000,4580041.531,4580041.531,112314.0155,6477156.85,1.031602969
19,1,45,200000,4650741.44,4650741.44,114059.2561,6577141.619,1.063697573
20,1,45,300000,4721441.348,4721441.348,115804.4968,6677126.389,1.096283812
21,1,45,400000,4792141.257,4792141.257,117549.7374,6777111.158,1.129361687
22,1,45,500000,4862841.166,4862841.166,119294.978,6877095.928,1.162931197
23,1,45,750000,5039590.937,5039590.937,123658.0797,7127057.852,1.249005879
24,1,45,1000000,5216340.708,5216340.708,128021.1813,7377019.776,1.338153281
25,1,45,2500000,6276839.336,6276839.336,154199.7909,8876791.318,1.937564852
26,1,45,5000000,8044337.05,8044337.05,197830.807,11376410.56,3.182401867
27,1,45,6000000,8751336.135,8751336.135,215283.2134,12376258.25,3.766372879
28,1,45,7000000,9458335.221,9458335.221,232735.6199,13376105.95,4.399507437
29,1,45,8000000,10165334.31,10165334.31,250188.0263,14375953.64,5.08180554
30,1,45,9000000,10872333.39,10872333.39,267640.4328,15375801.34,5.81326719
31,1,45,10000000,11579332.48,11579332.48,285092.8392,16375649.03,6.593892386
32,1,45,15000000,15114327.9,15114327.9,372354.8714,21374887.51,11.23447156
33,1,45,20000000,18649323.33,18649323.33,459616.9036,26374125.98,17.10413938
34,1,45,25000000,22184318.76,22184318.76,546878.9358,31373364.46,24.20289585
35,1,45,30000000,25719314.18,25719314.18,634140.9679,36372602.94,32.53074098
36,1,45,35000000,29254309.61,29254309.61,721403.0001,41371841.41,42.08767476
37,1,45,40000000,32789305.04,32789305.04,808665.0323,46371079.89,52.87369719
38,1,45,50000000,39859295.89,39859295.89,983189.0967,56369556.84,78.13300801
39,1,45,75000000,57534273.03,57534273.03,1419499.258,81365749.22,162.7903365
40,1,45,100000000,75209250.16,75209250.16,1855809.419,106361941.6,278.1748812
41,1,45,200000000,145909158.7,145909158.7,3601050.062,206346711.1,1046.985223
42,1,45,300000000,216609067.2,216609067.2,5346290.706,306331480.6,2307.431026
43,1,45,350000000,251959021.5,251959021.5,6218911.028,356323865.4,3122.017225
44,1,45,400000000,287308975.8,287308975.8,7091531.35,406316250.1,4059.512289
45,1,45,500000000,358008884.3,358008884.3,8836771.993,506301019.7,6303.229013
46,1,45,750000000,534758655.7,534758655.7,13199873.6,756262943.4,14063.42596
47,1,45,1000000000,711508427,711508427,17562975.21,1006224867,24896.34455
48,2,45,-1000000,3800618.884,3800618.884,186205.0486,5374886.771,0.711009457
49,2,45,-750000,3977287.892,3977287.892,194929.9228,5624734.478,0.778647982
50,2,45,-500000,4153956.899,4153956.899,203654.797,5874582.184,0.849359248
51,2,45,-400000,4224624.502,4224624.502,207144.7466,5974521.267,0.878504121
52,2,45,-300000,4295292.105,4295292.105,210634.6963,6074460.35,0.908140633
53,2,45,-200000,4365959.708,4365959.708,214124.646,6174399.433,0.938268784
54,2,45,-100000,4436627.312,4436627.312,217614.5956,6274338.515,0.968888573
55,2,45,-50000,4471961.113,4471961.113,219359.5705,6324308.057,0.984382831
56,2,45,-10000,4500228.154,4500228.154,220755.5503,6364283.69,0.996866734
57,2,45,-1000,4506588.239,4506588.239,221069.6458,6373278.207,0.999686452
58,2,45,-500,4506941.577,4506941.577,221087.0956,6373777.903,0.99984322
59,2,45,-100,4507224.247,4507224.247,221101.0554,6374177.659,0.999968643
60,2,45,100,4507365.582,4507365.582,221108.0353,6374377.537,1.000031357
61,2,45,500,4507648.253,4507648.253,221121.9951,6374777.293,1.000156792
62,2,45,1000,4508001.591,4508001.591,221139.4448,6375276.989,1.000313597
63,2,45,10000,4514361.675,4514361.675,221453.5403,6384271.506,1.003138183
64,2,45,50000,4542628.716,4542628.716,222849.5201,6424247.139,1.015740078
65,2,45,100000,4577962.518,4577962.518,224594.495,6474216.681,1.031603066
66,2,45,200000,4648630.121,4648630.121,228084.4447,6574155.763,1.06369777
67,2,45,300000,4719297.724,4719297.724,231574.3943,6674094.846,1.096284113
68,2,45,400000,4789965.327,4789965.327,235064.344,6774033.929,1.129362095
69,2,45,500000,4860632.93,4860632.93,238554.2937,6873973.011,1.162931715
70,2,45,750000,5037301.938,5037301.938,247279.1678,7123820.718,1.249006683
71,2,45,1000000,5213970.946,5213970.946,256004.042,7373668.425,1.338154391
72,2,45,2500000,6273984.992,6273984.992,308353.2871,8872754.665,1.937568195
73,2,45,5000000,8040675.069,8040675.069,395602.0288,11371231.73,3.182410444
74,2,45,6000000,8747351.1,8747351.1,430501.5255,12370622.56,3.766384079
75,2,45,7000000,9454027.131,9454027.131,465401.0222,13370013.39,4.399521562
76,2,45,8000000,10160703.16,10160703.16,500300.5189,14369404.21,5.081822894
77,2,45,9000000,10867379.19,10867379.19,535200.0156,15368795.04,5.813288075
78,2,45,10000000,11574055.22,11574055.22,570099.5123,16368185.87,6.593917105
79,2,45,15000000,15107435.38,15107435.38,744596.9958,21365140,11.23451998
80,2,45,20000000,18640815.53,18640815.53,919094.4794,26362094.14,17.10421908
81,2,45,25000000,22174195.69,22174195.69,1093591.963,31359048.27,24.2030144
82,2,45,30000000,25707575.84,25707575.84,1268089.446,36356002.41,32.53090593
